"X";"Number";"Group";"Class";"Order";"Family";"Genus";"Species";"Mass";"DM.WM";"Lat_deg";"Lon_deg";"LocationCode";"Elevation";"Date_original";"DateCode";"Date_start";"Date_end";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec";"Year1";"Year2";"Year3";"Year4";"Time.period.for.FMR.estimation..h....1";"Time.period.for.FMR.estimation..h....2";"FMR_Watt";"FMR_kJday";"TAREFmean";"TALOCmean";"SOLRAD";"RHREFmean";"RHLOCmean";"Reference";"Comments";"referencia.original";"cita";"FMR_M";"Tanomalies";"TMEAN"
"11";11;8076;"Mammal";"Mammalia";"Carnivora";"Odobenidae";"Odobenus";"Odobenus_rosmarus";1250000;0.38;76.88;-19.6316666666667;"2";NA;"August 2001";"2";"2001-08-01";"2001-08-31";0;0;0;0;0;0;0;1;0;0;0;0;2001;NA;NA;NA;NA;NA;4831.01851851852;417400;-0.861238904;0.812769196;202.5383291;80.3768088;72.19975001;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Acquarone et al 2006";"Acquarone, M., Born, E., & Speakman, J. (2006). Field Metabolic Rates of Walrus ( Odobenus rosmarus ) Measured by the Doubly Labeled Water Method. Aquatic Mammals, 32, 363-369. https://doi.org/10.1578/AM.32.3.2006.363";1.23632371588981;-2.761238904;1.9
"12";12;8077;"Mammal";"Mammalia";"Carnivora";"Odobenidae";"Odobenus";"Odobenus_rosmarus";1370000;0.38;76.88;-19.6316666666667;"2";NA;"August 2001";"2";"2001-08-01";"2001-08-31";0;0;0;0;0;0;0;1;0;0;0;0;2001;NA;NA;NA;NA;NA;3993.05555555556;345000;-0.861238904;0.812769196;202.5383291;80.3768088;72.19975001;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Acquarone et al 2006";"Acquarone, M., Born, E., & Speakman, J. (2006). Field Metabolic Rates of Walrus ( Odobenus rosmarus ) Measured by the Doubly Labeled Water Method. Aquatic Mammals, 32, 363-369. https://doi.org/10.1578/AM.32.3.2006.363";0.980016774990516;-2.761238904;1.9
"13";13;839;"Bird";"Aves";"Procellariiformes";"Diomedeidae";"Diomedea";"Diomedea_exulans";6.4;0.34;-46.8666666666667;37.85;"3";NA;"April - May 1982 - 83";"3";"1982-04-01";"1983-05-31";0;0;0;1;1;0;0;0;0;0;0;0;1982;1983;NA;NA;NA;NA;0.486833777777778;42.0624384;NA;NA;NA;NA;NA;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Adams et al 1986";"Adams, N. J., Brown, C. R., & Nagy, K. A. (1986). Energy Expenditure of Free-Ranging Wandering Albatrosses Diomedea exulans. Physiological Zoology, 59(6), 583-591.";0.0381532640837903;NA;NA
"14";14;840;"Bird";"Aves";"Procellariiformes";"Diomedeidae";"Diomedea";"Diomedea_exulans";6.4;0.34;-46.8666666666667;37.85;"3";NA;"April - May 1982 - 83";"3";"1982-04-01";"1983-05-31";0;0;0;1;1;0;0;0;0;0;0;0;1982;1983;NA;NA;NA;NA;0.796398933333333;68.80886784;NA;NA;NA;NA;NA;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Adams et al 1986";"Adams, N. J., Brown, C. R., & Nagy, K. A. (1986). Energy Expenditure of Free-Ranging Wandering Albatrosses Diomedea exulans. Physiological Zoology, 59(6), 583-591.";0.530330750823867;NA;NA
"15";15;841;"Bird";"Aves";"Procellariiformes";"Diomedeidae";"Diomedea";"Diomedea_exulans";6.7;0.34;-46.8666666666667;37.85;"3";NA;"April - May 1982 - 83";"3";"1982-04-01";"1983-05-31";0;0;0;1;1;0;0;0;0;0;0;0;1982;1983;NA;NA;NA;NA;0.392639355555556;33.92404032;NA;NA;NA;NA;NA;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Adams et al 1986";"Adams, N. J., Brown, C. R., & Nagy, K. A. (1986). Energy Expenditure of Free-Ranging Wandering Albatrosses Diomedea exulans. Physiological Zoology, 59(6), 583-591.";-0.206964830232519;NA;NA
"16";16;842;"Bird";"Aves";"Procellariiformes";"Diomedeidae";"Diomedea";"Diomedea_exulans";6.9;0.34;-46.8666666666667;37.85;"3";NA;"April - May 1982 - 83";"3";"1982-04-01";"1983-05-31";0;0;0;1;1;0;0;0;0;0;0;0;1982;1983;NA;NA;NA;NA;0.741405;64.057392;NA;NA;NA;NA;NA;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Adams et al 1986";"Adams, N. J., Brown, C. R., & Nagy, K. A. (1986). Energy Expenditure of Free-Ranging Wandering Albatrosses Diomedea exulans. Physiological Zoology, 59(6), 583-591.";0.409372180480984;NA;NA
"17";17;843;"Bird";"Aves";"Procellariiformes";"Diomedeidae";"Diomedea";"Diomedea_exulans";7;0.34;-46.8666666666667;37.85;"3";NA;"April - May 1982 - 83";"3";"1982-04-01";"1983-05-31";0;0;0;1;1;0;0;0;0;0;0;0;1982;1983;NA;NA;NA;NA;0.557307333333333;48.1513536;NA;NA;NA;NA;NA;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Adams et al 1986";"Adams, N. J., Brown, C. R., & Nagy, K. A. (1986). Energy Expenditure of Free-Ranging Wandering Albatrosses Diomedea exulans. Physiological Zoology, 59(6), 583-591.";0.114491738420046;NA;NA
"18";18;844;"Bird";"Aves";"Procellariiformes";"Diomedeidae";"Diomedea";"Diomedea_exulans";7.1;0.34;-46.8666666666667;37.85;"3";NA;"April - May 1982 - 83";"3";"1982-04-01";"1983-05-31";0;0;0;1;1;0;0;0;0;0;0;0;1982;1983;NA;NA;NA;NA;0.548315644444444;47.37447168;NA;NA;NA;NA;NA;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Adams et al 1986";"Adams, N. J., Brown, C. R., & Nagy, K. A. (1986). Energy Expenditure of Free-Ranging Wandering Albatrosses Diomedea exulans. Physiological Zoology, 59(6), 583-591.";0.0889097901249972;NA;NA
"19";19;845;"Bird";"Aves";"Procellariiformes";"Diomedeidae";"Diomedea";"Diomedea_exulans";7.1;0.34;-46.8666666666667;37.85;"3";NA;"April - May 1982 - 83";"3";"1982-04-01";"1983-05-31";0;0;0;1;1;0;0;0;0;0;0;0;1982;1983;NA;NA;NA;NA;0.926130311111111;80.01765888;NA;NA;NA;NA;NA;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Adams et al 1986";"Adams, N. J., Brown, C. R., & Nagy, K. A. (1986). Energy Expenditure of Free-Ranging Wandering Albatrosses Diomedea exulans. Physiological Zoology, 59(6), 583-591.";0.613073624973215;NA;NA
"20";20;846;"Bird";"Aves";"Procellariiformes";"Diomedeidae";"Diomedea";"Diomedea_exulans";289;0.34;-46.8666666666667;37.85;"3";NA;"April - May 1982 - 83";"3";"1982-04-01";"1983-05-31";0;0;0;1;1;0;0;0;0;0;0;0;1982;1983;NA;NA;NA;NA;5.8912037037037;509;NA;NA;NA;NA;NA;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Adams et al 1986";"Adams, N. J., Brown, C. R., & Nagy, K. A. (1986). Energy Expenditure of Free-Ranging Wandering Albatrosses Diomedea exulans. Physiological Zoology, 59(6), 583-591.";0.0290230443802793;NA;NA
